Index,Time,Time_Diff,Output
-1,0,0,0
0,0.529564,0.529564,-0.10227
1,0.531072,0.00150766,-0.0779821
2,0.53238,0.00130766,-0.0864896
3,0.535087,0.00270769,-0.0864342
4,0.536555,0.00146769,-0.075826
5,0.537955,0.00140055,-0.0527328
6,0.539457,0.00150198,-0.0720855
7,0.540788,0.00133016,-0.0401298
8,0.54201,0.00122244,-0.0258337
9,0.54325,0.00124016,-0.0286479
10,0.544536,0.00128528,-0.0149886
11,0.545779,0.00124329,-0.0135112
12,0.546986,0.00120721,-0.0253107
13,0.548289,0.00130287,-0.018467
14,0.549488,0.00119911,-0.00601577
15,0.550744,0.00125612,-0.0114298
16,0.551939,0.00119454,-0.0116028
17,0.553186,0.00124759,-0.00463053
18,0.55444,0.00125381,-0.0059708
19,0.555608,0.00116791,-0.00320434
20,0.556863,0.00125487,-0.00433988
21,0.558137,0.00127457,-0.00172595
22,0.559529,0.00139168,0.00314637
23,0.560693,0.00116416,0.00280536
24,0.561954,0.00126051,0.00871661
25,0.56335,0.00139669,0.0118584
26,0.56471,0.00135944,0.00767829
27,0.566995,0.00228492,0.00992434
28,0.568293,0.00129829,0.0100473
29,0.569572,0.00127847,0.0093176
30,0.57076,0.00118863,-0.000990726
31,0.571975,0.00121483,-0.00873441
32,0.574398,0.00242255,0.00195093
33,0.575654,0.00125686,-0.0109469
34,0.577003,0.00134808,-0.0184077
35,0.578249,0.00124615,-0.0269046
36,0.579371,0.00112214,-0.0329509
37,0.580515,0.00114391,-0.0615936
38,0.581762,0.00124713,-0.067781
39,0.583076,0.0013142,-0.0610175
40,0.584395,0.00131929,-0.0417123
41,0.585556,0.00116035,-0.0366221
42,0.5869,0.00134473,-0.0466202
43,0.588277,0.00137663,-0.0467
44,0.589559,0.00128198,-0.0383933
45,0.590773,0.00121415,-0.0229804
46,0.591952,0.00117865,-0.0252003
47,0.593164,0.00121245,-0.0265573
48,0.59549,0.00232553,-0.0200292
49,0.596715,0.00122564,-0.0361358
50,0.597853,0.00113722,-0.0462361
51,0.599134,0.00128174,-0.0441725
52,0.600329,0.0011948,-0.0274812
53,0.601558,0.00122899,-0.0234253
54,0.602765,0.00120715,-0.0335331
55,0.604003,0.00123799,-0.0351724
56,0.605143,0.00113976,-0.0331222
57,0.607462,0.00231839,-0.0442419
58,0.608746,0.00128452,-0.0330176
59,0.610174,0.00142774,-0.0251349
60,0.612488,0.00231443,-0.0156908
61,0.613649,0.00116056,-0.0120219
62,0.614935,0.00128648,-0.015825
63,0.616191,0.00125622,-0.0133112
64,0.617426,0.00123499,-0.021394
65,0.618828,0.0014018,-0.00633487
66,0.620132,0.00130357,-0.00962847
67,0.621332,0.00119987,0.0106771
68,0.622542,0.00121075,0.0209414
69,0.623881,0.00133809,0.0107038
70,0.625011,0.00113003,-0.0206702
71,0.626189,0.00117845,-0.00835746
72,0.627323,0.00113382,-0.019648
73,0.628576,0.00125272,-0.0340115
74,0.62988,0.00130396,-0.0358504
75,0.631265,0.00138595,-0.063141
76,0.632604,0.00133812,-0.0695591
77,0.633792,0.00118829,-0.03822
78,0.635013,0.00122089,-0.0336365
79,0.63628,0.0012676,-0.0139497
80,0.637437,0.00115672,-0.00274278
81,0.63882,0.00138319,0.00301657
82,0.640003,0.00118247,0.0171698
83,0.642332,0.00232878,0.016372
