Index,Time,Time_Diff,Output
-1,0,0,0
0,0.453101,0.453101,0.00136819
1,0.492573,0.039472,0.0095844
2,0.526681,0.0341074,0.00654317
3,0.537086,0.0104053,0.0105434
4,0.548837,0.0117513,0.00918243
5,0.574816,0.025979,0.015515
6,0.589484,0.0146679,0.0101944
7,0.598828,0.00934424,0.0204143
8,0.605725,0.0068967,0.0187831
9,0.612335,0.00661036,0.0172854
10,0.618536,0.00620068,0.0168004
11,0.624952,0.00641564,0.0203772
12,0.632573,0.00762182,0.0153813
13,0.639467,0.00689356,0.0150459
14,0.646695,0.00722836,0.0158839
15,0.653303,0.00660804,0.0169936
16,0.659962,0.00665872,0.0139244
17,0.666704,0.00674153,0.0169521
18,0.673393,0.00668926,0.0181063
19,0.679691,0.00629781,0.0145553
20,0.686504,0.00681359,0.0100903
21,0.693255,0.0067507,0.0153833
22,0.699192,0.00593744,0.0102132
23,0.70368,0.00448718,0.0105998
24,0.707123,0.00344299,0.0142843
25,0.710218,0.00309572,0.0193231
26,0.712992,0.00277354,0.0105112
27,0.715429,0.00243753,0.0130126
28,0.717827,0.00239753,0.0171472
29,0.720033,0.00220611,0.0165916
30,0.722259,0.00222573,0.00689454
31,0.724426,0.00216776,0.0115744
32,0.726571,0.00214474,0.00708854
33,0.728704,0.00213286,-0.00435571
34,0.730978,0.00227389,0.0039864
35,0.733294,0.0023164,-0.010965
36,0.735447,0.00215254,0.00163431
37,0.737676,0.00222942,-0.00221409
38,0.73992,0.00224344,-0.0134471
39,0.742095,0.0021749,-0.00583675
40,0.744253,0.00215876,-0.00912722
41,0.746633,0.00237985,-0.0198472
42,0.748893,0.00225974,-0.0258458
43,0.751022,0.00212911,-0.0177258
44,0.753241,0.00221863,-0.0101095
45,0.755348,0.00210693,-0.00741995
46,0.757489,0.00214086,-0.00795923
47,0.76039,0.00290146,-0.0121944
48,0.762573,0.00218314,-0.011317
49,0.764689,0.00211561,-0.0173814
50,0.766816,0.00212686,-0.0183644
51,0.76903,0.00221439,-0.0345698
52,0.771257,0.00222685,-0.0291792
53,0.77347,0.00221295,-0.0367673
54,0.775698,0.00222813,-0.0136083
55,0.777888,0.00218996,0.000803806
56,0.780083,0.00219542,0.00315511
57,0.782261,0.00217812,0.0109203
58,0.784442,0.00218066,0.0186809
59,0.786644,0.00220156,0.010215
60,0.788861,0.00221764,0.0274459
61,0.791057,0.00219617,0.0139043
62,0.793218,0.00216051,0.00493852
63,0.795387,0.00216858,-0.00257053
64,0.79765,0.00226325,-0.00203018
65,0.799956,0.00230607,0.0101697
66,0.802256,0.00230061,-0.000498682
67,0.804548,0.00229131,0.00200917
68,0.806884,0.0023365,0.00591929
69,0.817106,0.0102219,0.00285749
70,0.819367,0.00226099,-0.00550111
71,0.821603,0.00223626,-0.00664088
72,0.823979,0.00237552,0.000187449
73,0.826345,0.00236553,-0.00415118
74,0.828583,0.00223853,-0.00453728
75,0.830907,0.00232361,0.000900157
76,0.833137,0.00223029,0.00163726
77,0.83536,0.00222301,0.0211985
78,0.837549,0.00218854,0.0207057
79,0.839791,0.00224255,0.0185478
80,0.842014,0.00222336,0.0142094
81,0.844246,0.00223169,0.00811633
82,0.846648,0.0024017,0.0220334
83,0.848975,0.00232696,0.0134046
84,0.851337,0.00236236,0.00934693
85,0.853578,0.00224064,0.0050788
86,0.855685,0.0021071,-0.00066784
87,0.860389,0.00470385,-0.00534019
88,0.868555,0.00816655,-0.00878462
89,0.87089,0.00233493,-0.0137297
90,0.873057,0.0021666,-0.00182895
91,0.875324,0.00226728,0.0107257
92,0.87755,0.00222642,0.00928065
93,0.879891,0.00234001,-0.0236688
