Index,Time,Time_Diff,Output
-1,0,0,0
0,0.682288,0.682288,0.00136818
1,0.683755,0.00146777,0.00958445
2,0.685189,0.00143352,0.00654319
3,0.686479,0.00129037,0.0105434
4,0.687694,0.0012145,0.00918249
5,0.689052,0.00135789,0.015515
6,0.690254,0.00120272,0.0101944
7,0.691491,0.00123629,0.0204143
8,0.693094,0.0016034,0.0187831
9,0.694509,0.0014153,0.0172854
10,0.695738,0.0012282,0.0168004
11,0.697034,0.00129681,0.0203772
12,0.698477,0.00144269,0.0153812
13,0.699947,0.00146946,0.0150459
14,0.701206,0.00125986,0.0158839
15,0.702627,0.0014204,0.0169936
16,0.703988,0.00136126,0.0139245
17,0.705169,0.00118105,0.0169521
18,0.706588,0.00141891,0.0181063
19,0.707902,0.00131378,0.0145553
20,0.709086,0.00118459,0.0100903
21,0.710435,0.00134857,0.0153833
22,0.711752,0.00131676,0.0102132
23,0.713107,0.00135494,0.0105998
24,0.714483,0.00137619,0.0142843
25,0.715931,0.00144852,0.0193232
26,0.717323,0.00139159,0.0105112
27,0.718585,0.00126172,0.0130126
28,0.719901,0.00131581,0.0171472
29,0.721125,0.00122488,0.0165916
30,0.722432,0.0013062,0.0068946
31,0.723761,0.00132962,0.0115745
32,0.725002,0.0012411,0.00708852
33,0.726573,0.00157022,-0.00435572
34,0.727906,0.00133309,0.00398637
35,0.729353,0.00144725,-0.0109649
36,0.730769,0.00141574,0.00163431
37,0.73206,0.00129101,-0.00221412
38,0.73337,0.00131079,-0.013447
39,0.73492,0.00154963,-0.00583676
40,0.736223,0.00130312,-0.00912731
41,0.737575,0.00135201,-0.0198471
42,0.738833,0.00125822,-0.0258459
43,0.740068,0.0012347,-0.0177258
44,0.741318,0.00125022,-0.0101095
45,0.742799,0.00148105,-0.0074199
46,0.744131,0.00133177,-0.0079592
47,0.745551,0.00142032,-0.0121944
48,0.74681,0.00125884,-0.011317
49,0.747968,0.00115747,-0.0173814
50,0.749317,0.00134883,-0.0183645
51,0.750718,0.00140143,-0.0345699
52,0.751972,0.00125395,-0.0291792
53,0.75332,0.00134826,-0.0367673
54,0.754655,0.00133485,-0.0136083
55,0.756064,0.00140921,0.000803962
56,0.757445,0.00138074,0.00315509
57,0.758984,0.00153911,0.0109203
58,0.76036,0.00137609,0.018681
59,0.761712,0.00135198,0.010215
60,0.763085,0.0013729,0.027446
61,0.764429,0.00134423,0.0139044
62,0.76579,0.00136082,0.00493855
63,0.767161,0.00137122,-0.00257056
64,0.768489,0.00132719,-0.00203019
65,0.769747,0.00125829,0.0101698
66,0.77097,0.00122362,-0.000498712
67,0.772196,0.00122537,0.00200918
68,0.77342,0.0012246,0.00591931
69,0.774803,0.00138246,0.00285749
70,0.77638,0.00157744,-0.0055011
71,0.777703,0.00132218,-0.00664078
72,0.779036,0.00133315,0.000187427
73,0.780248,0.00121196,-0.00415111
74,0.781485,0.00123766,-0.00453728
75,0.782712,0.00122667,0.000900082
76,0.783938,0.00122583,0.00163729
77,0.785248,0.00131036,0.0211985
78,0.786538,0.00128935,0.0207058
79,0.787883,0.00134597,0.0185479
80,0.789063,0.00117908,0.0142094
81,0.790384,0.00132123,0.00811634
82,0.791643,0.00125958,0.0220334
83,0.79318,0.0015363,0.0134046
84,0.794543,0.00136302,0.00934698
85,0.795872,0.00132951,0.00507878
86,0.797152,0.00128018,-0.000667855
87,0.798472,0.00132007,-0.00534021
88,0.799723,0.00125084,-0.00878463
89,0.801032,0.00130856,-0.0137297
90,0.802333,0.00130097,-0.00182898
91,0.803559,0.00122609,0.0107257
92,0.804908,0.00134955,0.00928066
93,0.806197,0.00128867,-0.0236689
94,0.807557,0.00135987,-0.0088214
95,0.80887,0.00131291,0.0188147
96,0.810113,0.00124354,-0.0126375
97,0.811365,0.00125198,-0.00889307
98,0.812633,0.00126787,0.0142698
99,0.813951,0.00131735,0.00207122
100,0.81529,0.00133945,0.0121382
101,0.816641,0.0013511,0.0111632
102,0.817915,0.00127376,0.0338162
