Index,Time,Time_Diff,Output
-1,0.000000,0.000000,0.000000
0,0.545850,0.545850,-0.104410
1,0.548935,0.003085,-0.079376
2,0.550582,0.001647,-0.089261
3,0.552172,0.001590,-0.086396
4,0.555019,0.002847,-0.078157
5,0.556701,0.001682,-0.051631
6,0.558308,0.001607,-0.073109
7,0.559830,0.001522,-0.037054
8,0.561397,0.001567,-0.025649
9,0.563111,0.001714,-0.028076
10,0.564675,0.001564,-0.014664
11,0.566304,0.001629,-0.013864
12,0.569188,0.002884,-0.026897
13,0.570880,0.001692,-0.019649
14,0.572602,0.001722,-0.006261
15,0.574271,0.001669,-0.011473
16,0.575766,0.001495,-0.011833
17,0.577273,0.001507,-0.004301
18,0.578919,0.001646,-0.005534
19,0.580474,0.001555,-0.003492
20,0.581987,0.001513,-0.004743
21,0.583520,0.001533,-0.001934
22,0.584910,0.001390,0.003083
23,0.586337,0.001427,0.002222
24,0.587860,0.001523,0.008510
25,0.589438,0.001578,0.011778
26,0.591057,0.001619,0.006812
27,0.592700,0.001643,0.010332
28,0.594234,0.001534,0.009608
29,0.595626,0.001392,0.008551
30,0.597100,0.001474,-0.001945
31,0.598716,0.001616,-0.011112
32,0.600249,0.001533,0.001287
33,0.601776,0.001527,-0.011717
34,0.603271,0.001495,-0.020618
35,0.604833,0.001562,-0.027479
36,0.606438,0.001605,-0.035704
37,0.608032,0.001594,-0.063364
38,0.609666,0.001634,-0.067443
39,0.611171,0.001505,-0.063089
40,0.612724,0.001553,-0.042144
41,0.614233,0.001509,-0.038560
42,0.615812,0.001579,-0.046384
43,0.617216,0.001404,-0.045156
44,0.618834,0.001618,-0.036467
45,0.620264,0.001430,-0.022547
46,0.621766,0.001502,-0.022671
47,0.623226,0.001460,-0.025786
48,0.625154,0.001928,-0.019402
49,0.626865,0.001711,-0.036234
50,0.628531,0.001666,-0.047083
51,0.630014,0.001483,-0.044600
52,0.631572,0.001558,-0.030167
53,0.633002,0.001430,-0.023797
54,0.634560,0.001558,-0.034051
55,0.636112,0.001552,-0.035193
56,0.637617,0.001505,-0.034648
57,0.639250,0.001633,-0.044056
58,0.640708,0.001458,-0.034700
59,0.642252,0.001544,-0.024066
60,0.643793,0.001541,-0.016098
61,0.645335,0.001542,-0.012237
62,0.646785,0.001450,-0.016822
63,0.648331,0.001546,-0.014439
64,0.649949,0.001618,-0.021585
65,0.651634,0.001685,-0.006010
66,0.653134,0.001500,-0.008655
67,0.654705,0.001571,0.011963
68,0.656133,0.001428,0.023454
69,0.657757,0.001624,0.013707
70,0.659366,0.001609,-0.018755
71,0.660864,0.001498,-0.006195
72,0.662418,0.001554,-0.019277
73,0.663865,0.001447,-0.033615
74,0.665364,0.001499,-0.036330
75,0.666833,0.001469,-0.063805
76,0.668337,0.001504,-0.068939
77,0.669822,0.001485,-0.038692
78,0.671350,0.001528,-0.032146
79,0.673009,0.001659,-0.013528
80,0.674718,0.001709,-0.002178
81,0.676193,0.001475,0.004716
82,0.677739,0.001546,0.018601
83,0.679307,0.001568,0.017453
84,0.680868,0.001561,0.030368
85,0.682335,0.001467,0.018666
86,0.683793,0.001458,0.017381
87,0.685250,0.001457,0.009065
88,0.686713,0.001463,-0.001399
89,0.688159,0.001446,-0.011652
90,0.689599,0.001440,-0.041514
91,0.691147,0.001548,-0.001668
92,0.692638,0.001491,-0.014566
93,0.694112,0.001474,-0.050010
94,0.695647,0.001535,-0.068974
95,0.697142,0.001495,-0.027786
96,0.698938,0.001796,-0.124094
97,0.700550,0.001612,-0.013577
98,0.702153,0.001603,0.008378
99,0.703569,0.001416,0.008768
100,0.705007,0.001438,0.020713
101,0.706488,0.001481,0.024198
102,0.707934,0.001446,0.045452
103,0.709486,0.001552,0.053907
104,0.711009,0.001523,0.067465
105,0.712574,0.001565,0.045936
106,0.714038,0.001464,0.058971
107,0.715570,0.001532,0.088206
108,0.717100,0.001530,0.061940
109,0.718741,0.001641,0.057456
110,0.720331,0.001590,0.059491
111,0.721773,0.001442,0.051405
112,0.723192,0.001419,0.043638
113,0.724746,0.001554,0.049096
114,0.726245,0.001499,0.044929
115,0.727735,0.001490,0.044590
116,0.729246,0.001511,0.055518
117,0.730830,0.001584,0.043128
118,0.732415,0.001585,0.053019
119,0.733806,0.001391,0.067978
120,0.735317,0.001511,0.070339
121,0.736753,0.001436,0.091323
122,0.738266,0.001513,0.097416
123,0.739775,0.001509,0.122357
124,0.741091,0.001316,0.132995
125,0.742755,0.001664,0.113694
126,0.744318,0.001563,0.159484
127,0.745926,0.001608,0.146594
128,0.747590,0.001664,0.147742
129,0.749088,0.001498,0.111569
130,0.750640,0.001552,0.111618
131,0.752162,0.001522,0.149908
132,0.753725,0.001563,0.154528
133,0.755246,0.001521,0.137895
134,0.756733,0.001487,0.136054
135,0.758279,0.001546,0.122741
136,0.759798,0.001519,0.096031
137,0.761379,0.001581,0.125284
138,0.762826,0.001447,0.158411
139,0.764331,0.001505,0.100534
140,0.765942,0.001611,0.098249
141,0.767493,0.001551,0.054146
142,0.769032,0.001539,0.044994
143,0.770547,0.001515,-0.010213
144,0.772088,0.001541,-0.053155
145,0.773728,0.001640,-0.006705
146,0.775269,0.001541,-0.039728
147,0.777971,0.002702,-0.066500
148,0.779637,0.001666,-0.057174
149,0.781270,0.001633,-0.061097
150,0.782873,0.001603,-0.109744
151,0.784407,0.001534,-0.093555
152,0.785968,0.001561,-0.070260
153,0.787495,0.001527,-0.020699
154,0.788975,0.001480,-0.025573
155,0.790603,0.001628,-0.049762
156,0.792239,0.001636,-0.063374
157,0.793714,0.001475,-0.045698
158,0.795203,0.001489,-0.021274
159,0.796698,0.001495,-0.016933
160,0.798225,0.001527,-0.039477
161,0.799666,0.001441,-0.082119
162,0.801161,0.001495,-0.025119
163,0.802725,0.001564,0.009539
164,0.804270,0.001545,0.014430
165,0.805881,0.001611,0.024876
166,0.807505,0.001624,0.010994
167,0.809197,0.001692,0.029815
168,0.810892,0.001695,0.021307
169,0.812421,0.001529,0.016209
170,0.813921,0.001500,0.004941
171,0.815475,0.001554,0.024034
172,0.816969,0.001494,0.033636
173,0.818655,0.001686,0.018188
174,0.820149,0.001494,0.008616
175,0.821655,0.001506,0.026459
176,0.823262,0.001607,0.024961
177,0.824734,0.001472,0.042532
178,0.826232,0.001498,0.048941
179,0.827723,0.001491,0.049568
180,0.829249,0.001526,0.023039
181,0.830972,0.001723,0.031598
182,0.832532,0.001560,0.067190
183,0.834067,0.001535,0.008435
184,0.836068,0.002001,0.010053
185,0.837734,0.001666,-0.013867
186,0.839260,0.001526,-0.014039
187,0.840819,0.001559,-0.015372
188,0.842327,0.001508,-0.012851
189,0.843810,0.001483,-0.019283
190,0.845306,0.001496,-0.024985
191,0.846831,0.001525,-0.017607
192,0.848326,0.001495,-0.012687
193,0.849782,0.001456,-0.003672
194,0.851332,0.001550,0.002995
195,0.852769,0.001437,0.002851
196,0.854270,0.001501,0.011892
197,0.855735,0.001465,0.043207
198,0.857286,0.001551,0.033672
199,0.858832,0.001546,0.018096
200,0.860283,0.001451,0.027306
201,0.861742,0.001459,0.032866
202,0.863345,0.001603,0.053873
203,0.864774,0.001429,0.063826
204,0.866289,0.001515,0.071037
205,0.867792,0.001503,-0.019822
206,0.869238,0.001446,-0.035373
207,0.870909,0.001671,-0.036477
208,0.872477,0.001568,-0.047378
209,0.873946,0.001469,-0.053593
210,0.875429,0.001483,-0.062030
211,0.876964,0.001535,-0.052294
212,0.878636,0.001672,-0.086919
213,0.880110,0.001474,-0.110181
214,0.881654,0.001544,-0.122003
215,0.883190,0.001536,-0.117145
216,0.884806,0.001616,-0.089201
217,0.886422,0.001616,-0.030018
218,0.888015,0.001593,-0.037836
219,0.889544,0.001529,-0.021071
220,0.890997,0.001453,-0.014933
221,0.892414,0.001417,-0.014210
222,0.893906,0.001492,0.025835
223,0.895522,0.001616,0.027088
224,0.897050,0.001528,0.008561
225,0.898689,0.001639,-0.012739
226,0.900401,0.001712,-0.005777
227,0.901904,0.001503,-0.005782
228,0.903602,0.001698,0.003558
229,0.905123,0.001521,0.042793
230,0.906634,0.001511,0.050870
231,0.908170,0.001536,0.067098
232,0.909616,0.001446,0.033042
233,0.911164,0.001548,0.037693
234,0.912662,0.001498,0.077306
235,0.914110,0.001448,0.115364
236,0.915771,0.001661,0.091800
237,0.917265,0.001494,0.096617
238,0.918791,0.001526,0.111884
239,0.920227,0.001436,0.126992
240,0.921611,0.001384,0.175700
241,0.923078,0.001467,0.155383
242,0.924657,0.001579,0.093486
243,0.926188,0.001531,0.071896
244,0.927684,0.001496,0.057146
245,0.929086,0.001402,0.122266
246,0.930614,0.001528,0.177960
247,0.932139,0.001525,0.189120
248,0.933698,0.001559,0.269542
249,0.935325,0.001627,0.300776
250,0.936832,0.001507,0.251589
251,0.938407,0.001575,0.127633
252,0.941112,0.002705,0.240260
253,0.942672,0.001560,0.194669
254,0.944189,0.001517,0.239417
255,0.945832,0.001643,0.324083
256,0.947550,0.001718,0.208054
257,0.949082,0.001532,0.377437
258,0.950575,0.001493,0.575419
259,0.952101,0.001526,1.087672
260,0.953687,0.001586,1.673370
261,0.955360,0.001673,1.973176
262,0.956911,0.001551,2.184114
263,0.958492,0.001581,2.381641
264,0.959945,0.001453,2.570779
265,0.961554,0.001609,2.738133
266,0.963058,0.001504,2.812937
267,0.964529,0.001471,2.873286
268,0.965897,0.001368,2.896665
269,0.967388,0.001491,2.908040
270,0.968861,0.001473,2.896032
271,0.970385,0.001524,2.903837
272,0.971901,0.001516,2.913731
273,0.973393,0.001492,2.928297
274,0.974851,0.001458,2.937889
275,0.977419,0.002568,2.976127
276,0.978990,0.001571,3.001146
277,0.980702,0.001712,3.008279
278,0.982260,0.001558,3.007634
279,0.983712,0.001452,3.000211
280,0.985323,0.001611,2.996184
281,0.986963,0.001640,3.013178
282,0.988601,0.001638,3.008353
283,0.989999,0.001398,3.022830
284,0.992451,0.002452,3.024180
285,0.993970,0.001519,3.029318
286,0.995602,0.001632,3.029737
287,0.997137,0.001535,3.040696
288,0.998725,0.001588,3.042564
